"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 13:14:51 GMT 2024","Thu Oct 10 13:15:27 GMT 2024","36246","Realizar venda","","","","","Realizar venda com sucesso",""
"passed","Thu Oct 10 13:13:50 GMT 2024","Thu Oct 10 13:14:07 GMT 2024","16713","Cadastro de cliente","","","","","Realizar cadastro de cliente",""
"passed","Thu Oct 10 13:14:46 GMT 2024","Thu Oct 10 13:14:46 GMT 2024","24","Login com credenciais invalidas","","","","","Login não deve ser realizado e deve ser apresentado uma mensagem informando que as credenciais são inválidas",""
"passed","Thu Oct 10 13:14:39 GMT 2024","Thu Oct 10 13:14:46 GMT 2024","6934","Login com credenciais validas","","","","","Login deve ser realizado com sucesso usando credenciais validas",""
"passed","Thu Oct 10 13:14:12 GMT 2024","Thu Oct 10 13:14:37 GMT 2024","25852","Cadastro de produtos","","","","","Realizar cadastro de produto valido informando o vinculo fiscal",""
