"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 03 13:33:00 GMT 2024","Thu Oct 03 13:33:27 GMT 2024","27023","Realizar venda","","","","","Realizar venda com sucesso",""
"passed","Thu Oct 03 13:32:56 GMT 2024","Thu Oct 03 13:32:56 GMT 2024","18","Login com credenciais invalidas","","","","","Login não deve ser realizado e deve ser apresentado uma mensagem informando que as credenciais são inválidas",""
"passed","Thu Oct 03 13:32:15 GMT 2024","Thu Oct 03 13:32:26 GMT 2024","11206","Cadastro de cliente","","","","","Realizar cadastro de cliente",""
"passed","Thu Oct 03 13:32:30 GMT 2024","Thu Oct 03 13:32:50 GMT 2024","20340","Cadastro de produtos","","","","","Realizar cadastro de produto valido informando o vinculo fiscal",""
"passed","Thu Oct 03 13:32:52 GMT 2024","Thu Oct 03 13:32:56 GMT 2024","4300","Login com credenciais validas","","","","","Login deve ser realizado com sucesso usando credenciais validas",""
