"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 03:28:19 GMT 2024","Thu Oct 10 03:28:33 GMT 2024","13942","Cadastro de cliente","","","","","Realizar cadastro de cliente",""
"passed","Thu Oct 10 03:29:12 GMT 2024","Thu Oct 10 03:29:45 GMT 2024","33819","Realizar venda","","","","","Realizar venda com sucesso",""
"passed","Thu Oct 10 03:29:07 GMT 2024","Thu Oct 10 03:29:07 GMT 2024","24","Login com credenciais invalidas","","","","","Login não deve ser realizado e deve ser apresentado uma mensagem informando que as credenciais são inválidas",""
"passed","Thu Oct 10 03:29:02 GMT 2024","Thu Oct 10 03:29:07 GMT 2024","5016","Login com credenciais validas","","","","","Login deve ser realizado com sucesso usando credenciais validas",""
"passed","Thu Oct 10 03:28:38 GMT 2024","Thu Oct 10 03:29:00 GMT 2024","22264","Cadastro de produtos","","","","","Realizar cadastro de produto valido informando o vinculo fiscal",""
