"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 17 19:16:09 GMT 2024","Thu Oct 17 19:17:54 GMT 2024","104475","Cadastro de cliente","","","","","Realizar cadastro de cliente",""
"failed","Thu Oct 17 19:25:50 GMT 2024","Thu Oct 17 19:27:56 GMT 2024","125200","Realizar venda","","","","","Realizar venda com sucesso",""
"passed","Thu Oct 17 19:25:46 GMT 2024","Thu Oct 17 19:25:46 GMT 2024","23","Login com credenciais invalidas","","","","","Login não deve ser realizado e deve ser apresentado uma mensagem informando que as credenciais são inválidas",""
"passed","Thu Oct 17 19:25:14 GMT 2024","Thu Oct 17 19:25:46 GMT 2024","32070","Login com credenciais validas","","","","","Login deve ser realizado com sucesso usando credenciais validas",""
"broken","Thu Oct 17 19:19:48 GMT 2024","Thu Oct 17 19:22:15 GMT 2024","147357","Cadastro de produtos","","","","","Realizar cadastro de produto valido informando o vinculo fiscal",""
